Código institución,Nombre institución,Código del registro,Nombre del registro,Tipo de registro,Estado registro,Descripción del registro,Área responsable,Cargo del o la responsable,Tipo de inicio,Acto de inicio,Acto de término,Producto institucional relacionado,Número Ley,URL de la Ley en LeyChile (Biblioteca del Congreso Nacional de Chile),Otras fuentes normativas,Pago asociado,Tipo de usuario(a),Segmento de usuarios(as),Relación con el Registro Social de Hogares (RSH) y/o con el Registro de Información Social (RIS) para la selección de sus usuarios,Disponibilidad para su realización,Nivel de digitalización,Canal digital - Canales transaccionales,Canal presencial - Canales transaccionales,Canal telefónico - Canales transaccionales,Módulos de autoatención - Canales transaccionales,URL del inicio,Ficha ChileAtiende relacionada,URL de ficha ChileAtiende,Número de plataformas electrónicas que intervienen en el soporte electrónico,Alcance de las plataformas electrónicas que soportan el registro,Utiliza SIMPLE con modalidad Saas como plataforma para la digitalización,Utiliza SIMPLE con modalidad On premise como plataforma para la digitalización,Utiliza Plataformas desarrolladas por la institución (equipo propio) como plataforma para la digitalización,Utiliza Plataformas desarrolladas por la institución (provisto externamente) como plataforma para la digitalización,Utiliza  Plataformas transversales provistas por el Estado como plataforma para la digitalización,No utiliza mecanismo de autenticación - Autenticación,Utiliza ClaveÚnica - Autenticación,Utiliza Clave Tributaria - Autenticación,Utiliza un mecanismo de autenticación propio - Autenticación,Mecanismo de autenticación digital para funcionarios,Firma electrónica Avanzada,Notificación(es) practicada(s),Tiene etapa Inicio,Tiene etapa Instrucción,Tiene etapa Finalización,Medio utilizado para notificar en la etapa de iniciación,Medio utilizado para notificar en la etapa de instrucción,Medio utilizado para notificar en la etapa de finalización,"Dato, documentos(certificados) y/o expedientes en poder de otros órganos de la Administración del Estado",Documento(s) notarial(es),Nombre del documento notarial relacionado,Medio utilizado para enviar comunicaciones oficiales entre órganos de la Administración del Estado,Fecha de creación,Fecha de actualización
PE-GOR-00562,Gobierno Regional de la Región de Los Lagos,PT-GOR00562-00030,Elaboración Convenio de Colaboración,Procedimiento administrativo de función específica,Completado,Suscripción de acuerdos formales de apoyo técnico y/o económico entre instituciones.,Áreas asociadas al mandato institucional,Jefe División de Infraestructura y Transportes,Ambos tipos de inicio (oficio y a solicitud de partes).,Oficio de solicitud de colaboración.,Resolución que Aprueba Convenio de Colaboración.,Otros,DFL 1-19175,https://bcn.cl/2ewu7,No,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar durante todo el año,Nivel 3,,Sí,,,https://doc.digital.gob.cl/login,No,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,Sí,,,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-26 14:34:26,2024-12-26 11:36:14
PE-GOR-00562,Gobierno Regional de la Región de Los Lagos,PT-GOR00562-00031,Elaboración de Convenios de Programación,Procedimiento administrativo de función específica,Completado,"Suscripción de acuerdos formales, entre uno o más gobiernos regionales, uno o más ministerios, uno o más municipios, que definen acciones con proyectos de inversión donde se determinan recursos y plazos.",Áreas asociadas al mandato institucional,Jefe de División de Infraestructura y Transportes.,Ambos tipos de inicio (oficio y a solicitud de partes).,Acta de Acuerdo.,Resolución de Aprobación Convenio de Programación.,Otros,DFL 1-19175,https://bcn.cl/2ewu7,No,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar durante todo el año,Nivel 3,,Sí,,,https://doc.digital.gob.cl/login,No,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,Sí,,,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-26 17:16:26,2024-12-26 14:48:57
PE-GOR-00562,Gobierno Regional de la Región de Los Lagos,PT-GOR00562-00034,Evaluación de pertinencia iniciativas de inversión evaluadas por MIDESOF,Procedimiento administrativo de función específica,Completado,"Analizar la pertinencia y admisibilidad de las iniciativas de inversion que presentan las Entidades Formuladoras al SNI, para posteriormente remitirlas al Ministerio de Desarrollo Social y Familia para su andlisis técnico-econdmico. Las iniciativas que ingresan al SNI, deben contar con los requisitos para la presentacion oficial de las iniciativas de inversion nuevas al SNI y ademas considerar los antecedentes necesarios que permitan corroborar la pertinencia de la postulacion y a su vez posibilitar al analista de Ministerio de Desarrollo Social y Familia (MDSF) entender el alcance y objetivos de la misma.",Áreas asociadas al mandato institucional,Jefe de División de Planificación y Desarrollo Regional,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Oficio ingreso del proyecto solicitando su revisión de pertinencia,Oficio que informa resultado de la evaluación,Otros,DFL 1-19175,https://www.bcn.cl/leychile/navegar?idNorma=243771,No,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar durante todo el año,Nivel 4,Sí,,,,https://bip.ministeriodesarrollosocial.gob.cl/bip2-trabajo/app/login,No,,3,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,,Sí,,Sí,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2024-10-04 11:54:07,2024-12-26 15:36:06
PE-GOR-00562,Gobierno Regional de la Región de Los Lagos,PT-GOR00562-00035,Evaluación de Pertinencia para programas públicos e Iniciativas de inversión menores a 5.000 UTM,Procedimiento administrativo de función específica,Completado,"Evaluar la Pertinencia de las iniciativas de inversión (Programas e Iniciativas menores a 5000 UTM), presentadas por las Entidades Formuladoras, para financiamiento del Gobierno Regional de Los Lagos, con los instrumentos de planificación regional vigentes.",Áreas asociadas al mandato institucional,Jefe de División de Planificación y Desarrollo Regional,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Oficio que ingresa Iniciativa en Oficina de Partes,Oficio o Memorándum que informa resultado de evaluación.,Otros,DFL 1-19.175,https://www.bcn.cl/leychile/navegar?idNorma=243771,Sí,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar durante todo el año,Nivel 4,Sí,,,,https://bip.ministeriodesarrollosocial.gob.cl/bip2-trabajo/app/login,No,,3,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,,Sí,,Sí,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2024-10-07 08:23:13,2024-12-26 15:31:36
PE-GOR-00562,Gobierno Regional de la Región de Los Lagos,PT-GOR00562-00036,Evaluación Preinversión Circular 33,Procedimiento administrativo de función específica,Completado,"El proceso de preinversión de la circular 33 corresponden al proceso por el cual el Gobierno Regional de Los Lagos lleva a cabo la revisión, evaluación y análisis de las iniciativas que presentan las entidades formuladoras (municipios y servicios públicos) para su financiamiento con recursos públicos, según las tipologias establecidas en la Circular N°33.",Áreas asociadas al mandato institucional,Jefe División de Infraestructura y Transportes.,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Oficio solicitud de interesado(a) a postulación de iniciativa a Circular 33.,Oficio conductor con Ficha informativa de resultado de evaluación.,Otros,DFL 1-19175,https://bcn.cl/2ewu7,Sí,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar durante todo el año,Nivel 4,Sí,,,,https://bip.ministeriodesarrollosocial.gob.cl/bip2-trabajo/app/login,No,,3,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,,Sí,,Sí,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2024-10-08 15:11:54,2024-12-26 14:49:23
PE-GOR-00562,Gobierno Regional de la Región de Los Lagos,PT-GOR00562-00037,Evaluación Preinversión iniciativas menores a 5.000 UTM,Procedimiento administrativo de función específica,Completado,"El objetivo y alcance del registro corresponde al proceso de preinversión de iniciativas de inversión que postulen a etapa de ejecución al SNI, y cuyo costo total esté por debajo de las 5.000 Unidades Tributarias Mensuales (UTM), donde la etapa de revisión de antecedentes técnicos recae en el Departamento de Infraestructura y Equipamiento Territorial de la División de Infraestructura y Transportes.",Áreas asociadas al mandato institucional,Jefe División de Infraestructura y Transportes,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Memorándum División de Planificación indicando iniciativas derivadas a evaluación técnica.,Oficio conductor con Ficha de Evaluación de la iniciativa.,Otros,DFL 1-19175,https://bcn.cl/2ewu7,Sí,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar durante todo el año,Nivel 4,Sí,,,,https://bip.ministeriodesarrollosocial.gob.cl/bip2-trabajo/app/login,No,,3,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,,Sí,,Sí,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2024-10-09 08:31:19,2024-12-26 14:50:12
PE-GOR-00562,Gobierno Regional de la Región de Los Lagos,PT-GOR00562-00041,Postulación al Fondo Regional de Iniciativa Local (FRIL),Procedimiento administrativo de función específica,Completado,El Fondo Regional de Iniciativa Local (FRIL)  es un fondo concursable que permite a las municipalidades poder postular iniciativas menores a 3.000 UTM (año 2024).,Áreas asociadas al mandato institucional,Jefe División de Infraestructura y Transportes,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Ingreso de iniciativas a la Plataforma FRIL por parte de las Municipalidades de la Región.,Certificado de Acuerdo CORE que aprueba cartera de iniciativas,Fondos concursables y/o postulables,DFL 1-19175,https://bcn.cl/2ewu7,Sí,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar durante todo el año,Nivel 4,Sí,,,,https://fril2.goreloslagos.cl/login,No,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,Sí,,Sí,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2024-10-15 14:34:56,2024-12-26 14:50:50
PE-GOR-00562,Gobierno Regional de la Región de Los Lagos,TR-GOR00562-00032,Contáctese con el Gobierno Regiónal de Los Lagos,Otra Tramitación,Completado,"Espacio para que los ciudadanos puedan dejar sus ""consultas, sugerencias y/o reclamos""",Otro,Encargado de Gestión de Solicitudes,,,,Atención y/o información ciudadana,19880,https://www.bcn.cl/leychile/navegar?idNorma=210676,No,No,"Persona natural: Todo individuo de la especie humana, cualquiera sea su sexo, edad, raza o condición social",No aplica,No se requiere información,Se puede realizar durante todo el año,Nivel 4,Sí,,,,https://www.goreloslagos.cl/contacto,No,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,Sí,,,,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,No,,No considera comunicaciones oficiales,2023-11-10 15:39:26,2024-12-27 08:54:03
PE-GOR-00562,Gobierno Regional de la Región de Los Lagos,TR-GOR00562-00033,Solicitud de Audiencia (Ley 20.730),Otra Tramitación,Completado,"Solicitar audiencias en el marco de la Ley 20.730 (Ley del Lobby), con el objeto de promover, defender o representar cualquier interés particular, para influir en las decisiones que en el ejercicio de sus funciones deben adoptar los sujetos pasivos de esta Institución.",Atención de usuarios - clientes,Encargado (a) Institucional de Transparencia,,,,Atención y/o información ciudadana,20730,https://www.bcn.cl/leychile/navegar?idNorma=1060115,No,No,Ambos tipos de personas: Persona natural y jurídica,No aplica,No se requiere información,Se puede realizar durante todo el año,Nivel 4,Sí,,,,https://www.leylobby.gob.cl/instituciones/AB087,No,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,Sí,,Sí,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,No,,No considera comunicaciones oficiales,2023-11-10 15:39:26,2024-12-27 09:02:57
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00001,Administración de contratos de servicios,Procedimiento administrativo de función común,Completado,"Seguimiento de la ejecución y pago del contrato, que incluye la aplicación de multas por incumplimientos.",Administración y finanzas,Encargado Servicios generales,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Formalización de contrato de servicios,Informes mensuales,,20285,https://www.bcn.cl/leychile/navegar?idNorma=276363,Sí,,,,,,Nivel 0,,Sí,,,,,,,,,,,,,,,,,,No utiliza firma electrónica avanzada,No,,,,,,,No,,,No considera comunicaciones oficiales,2023-12-28 09:29:54,2023-12-28 22:39:17
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00002,"Administración, resguardo y destinación de vehículos fiscales",Procedimiento administrativo de función común,Completado,"Hoja de vida de cada vehículo, donde se encuentran la asignación del conductor, el lugar de aparcamiento, los siniestros y las mantenciones y reparaciones de cada vehículo",Administración y finanzas,Encargado de servicios generales,Ambos tipos de inicio (oficio y a solicitud de partes).,Adquisición de vehículo,Resolución exenta con asignación de vehículo ,,799,https://www.bcn.cl/leychile/navegar?idNorma=6359&idParte=0,No,,,,,,Nivel 0,,Sí,,,,,,,,,,,,,,,,,,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Ambos medios,Ambos medios,Ambos medios,No,,,No considera comunicaciones oficiales,2023-12-28 09:35:17,2023-12-28 22:40:11
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00003,Gestión de compras de bienes y servicios,Procedimiento administrativo de función común,Completado,"Inicia desde la solicitud de compra de productos y/o servicios, selección mecanismo de compra, acto administrativo autoriza contratación y adjudicación o selección, elaboración de contrato y Resolución que aprueba contrato y acta de recepción conforme",Administración y finanzas,Encargado unidad de adquisiciones,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",solicitud de compras,Resolución que aprueba contrato de servicios y/o adjudicación y acta de recepción conforme,,19886,https://www.bcn.cl/leychile/navegar?idNorma=213004&idParte=8649146,Sí,,,,,,Nivel 3,,,,Sí,www.mercadopublico.cl,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,Sí,Sí,Sí,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada provista por un externo,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,Sí,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-28 09:39:28,2023-12-28 09:55:30
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00004,"Reclutamiento, selección y contratación",Procedimiento administrativo de función común,Completado,"Este proceso se inicia con la necesidad de proveer algun cargo en las diferentes calidades jurídicas y dependiendo de eso se realiza el proceso de reclutamiento y contratación; en el caso de los cargos titulares luego de detectarse la necesidad de contratación se constituye el comité de selección para crear las bases del concurso, las que son aprobadas por Resolución Afecta que aprueba las bases a llamado concurso público, una vez que esto este tomado de razón se realiza la publicación en el portal de empleos públicos y se continua desarrollando las etapas del concurso que son respaldadas por las actas de cada etapa, este proceso finaliza con el nombramiento con Resolución de Contraloría (SIPAER)",Recursos humanos - gestión de personas,Jefatura departamento de gestión y desarrollo de personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Solicitud de contratación,Resolución afecta de nombramiento,,69,https://www.bcn.cl/leychile/navegar?idNorma=229098,No,,,,,,Nivel 3,,Sí,,,https://www.empleospublicos.cl/,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,Sí,,,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada provista por un externo,Sí,Sí,Sí,Sí,Ambos medios,Ambos medios,Ambos medios,Sí,,,No considera comunicaciones oficiales,2023-12-28 09:56:08,2023-12-28 22:59:52
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00005,Cometidos funcionarios,Procedimiento administrativo de función común,Completado,"Inicia con la creación de la Solicitud de Cometido, envío de la solicitud, autorizaciones del Jefe Directo y Jefe de Centros de Responsabilidad tanto para aprobación o rechazo. Una vez aprobado esta disponible finalmente para el pago que realiza Finanzas. En esta ultima etapa también esta la posibilidad de rechazar el pago y solicitar la devolución correspondiente.",Recursos humanos - gestión de personas,profesional depto. de gestión y desarrollo de personas,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",solicitud de cometido,aprobación y pago de cometido o rechazo del mismo,,18834,https://www.bcn.cl/leychile/navegar?idNorma=236392,No,,,,,,Nivel 3,,Sí,,,http://rrhh.goredelosrios.cl/app/view/cometido_pago_historico.php,,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,No considera comunicaciones oficiales,2023-12-28 10:17:53,2023-12-28 21:44:52
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00006,Permisos de Funcionarios,Procedimiento administrativo de función común,Completado,Los funcionarios realizan sus solicitudes a través del sistema de personal estos pueden ser autorizados o rechazados. Se realiza el acto administrativo a través de Resolución y finalmente los permisos son ingresados en la plataforma de Contraloría Siaper registro electrónico. ,Recursos humanos - gestión de personas,Profesional departamento de gestión y desarrollo de personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Solicitud de permiso,Resolución de autorización.,,18834,https://www.bcn.cl/leychile/navegar?idNorma=236392,No,,,,,,Nivel 3,,Sí,,,http://rrhh.goredelosrios.cl/app/view/login.php?e=-500,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada provista por un externo,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,No considera comunicaciones oficiales,2023-12-28 10:25:49,2023-12-28 22:15:40
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00007,Solicitud de horas extras (pagadas / compensadas),Procedimiento administrativo de función común,Completado,"Se realiza una programación trimestral que son autorizadas por las jefaturas, se realiza el acto administrativo a través de Resolución que ordena trabajos extraordinarios. Los funcionarios realizan las solicitudes en el sistema de personal el que puede ser aprobado o rechazado por la jefatura, finalmente se realiza la resolución que compensa o paga horas extraordinarias.  ",Recursos humanos - gestión de personas,Profesional depto. de gestión y desarrollo de personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.","Programación trimestral que son autorizadas por las jefaturas, se realiza el acto administrativo a través de Resolución que ordena trabajos extraordinarios",Resolución que compensa o paga horas extraordinarias.  ,,18834,https://www.bcn.cl/leychile/navegar?idNorma=236392,No,,,,,,Nivel 3,,Sí,,,http://rrhh.goredelosrios.cl/app/view/login.php?e=-500,,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada provista por un externo,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,No considera comunicaciones oficiales,2023-12-28 10:34:01,2023-12-28 22:19:31
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00008,Evaluación desempeño individual,Procedimiento administrativo de función común,Completado,Asesorar técnicamente a las jefaturas y funcionarios/as en general y llevar todo el proceso en sus distintas etapas y durante las sesiones de la Junta calificadora realizar las actas con las calificaciones y los acuerdos de la junta; finalizado con el ingreso del Escalafón de Mérito en Siaper de contraloría. ,Recursos humanos - gestión de personas,Encargada departamento de gestión y desarrollo de personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Informes trimestrales de desempeño,Oficio de notificación con escalafón de merito a contraloría.,,18834,https://www.bcn.cl/leychile/navegar?idNorma=236392,Sí,,,,,,Nivel 2,,Sí,,,http://calificaciones.goredelosrios.cl/eva_Login/,,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Ambos medios,Ambos medios,Ambos medios,No,,,No considera comunicaciones oficiales,2023-12-28 10:40:00,2023-12-28 22:25:01
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00009,Declaraciones de intereses y patrimonio,Procedimiento administrativo de función común,Completado,El departamento de personal crea las cuentas a los funcionarios que están obligados a realizar las declaraciones en la Plataforma de Declaración de Patrimonio e Intereses,Recursos humanos - gestión de personas,Profesional departamento de gestión y desarrollo de personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Notificación para actualización o  declarar por primera vez declaraciones de intereses y patrimonio,Validación de declaración por la autoridad de servicio,,20880,https://www.bcn.cl/leychile/navegar?idNorma=1086062,No,,,,,,Nivel 5,Sí,,,,https://www.declaracionjurada.cl/dip/index.html#inicio,,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,Sí,,,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,Sí,,,No considera comunicaciones oficiales,2023-12-28 11:01:45,2023-12-28 22:36:34
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00010,Licencias médicas,Procedimiento administrativo de función común,Completado,"La licencia médica son notificadas por correo electrónico a las funcionarias del Depto. de Personal, estas se tramitan electrónicamente en el Portal de tramitación de Licencias Empleadores. En algunas ocasiones llegan en papel y son tramitadas de forma personal en la Compin o Isapre. Se realiza acto administrativo mediante Resolución y finalmente se ingresan las licencias médicas de cada funcionario a la plataforma Siaper registro electrónico de Contraloría. ",Recursos humanos - gestión de personas,Profesional depto. gestión y desarrollo de personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",notificacion de licencia medica a depto de gestión de desarrollo de personas ,resolución que aprueba licencia medica,,20585,https://www.bcn.cl/leychile/navegar?idNorma=1039952&idVersion=2012-05-11,No,,,,,,Nivel 5,Sí,Sí,,,https://www.lmempleador.cl/,,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada provista por un externo,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios",2023-12-28 11:10:52,2023-12-28 21:11:41
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00011,Procedimiento de Activo Fijo,Procedimiento administrativo de función común,Completado,"Procedimiento de aplicación obligatoria en todas las Unidades o Departamentos del Gobierno Regional de Los Ríos. Aplicable a los bienes muebles de uso, no patrimoniales, administrados por Unidades del Gobierno Regional de Los Ríos, independientemente del tipo de financiamiento con que fueron adquiridos, incluyendo, por tanto, los que fueron adquiridos con cargo a proyectos financiados por el programa 2 de Inversión Regional, o que tuvieron su origen en donaciones en dinero o especies que se suman a los adquiridos con presupuesto corriente del programa 01 de gastos de Funcionamiento",Administración y finanzas,Encargado de activo fijo,Ambos tipos de inicio (oficio y a solicitud de partes).,asignación de activo fijo ,acta de entrega y/o resguardo de activo,,1939,https://www.bcn.cl/leychile/navegar?idNorma=6778,Sí,,,,,,Nivel 0,,Sí,,,,,,,,,,,,,,,,,,No utiliza firma electrónica avanzada,No,,,,,,,No,,,No considera comunicaciones oficiales,2023-12-28 11:20:38,2023-12-28 21:37:09
PE-GOR-00563,Gobierno Regional de la Región de Los Ríos,PA-GOR00563-00012,Gestión de vehículos fiscales,Procedimiento administrativo de función común,Completado,"Solicitud de vehículo, donde los usuarios pueden realizar sus requerimientos de traslado",Administración y finanzas,Encargada de servicios generales,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",solicitud de uso de vehículo institucional,asignación de vehículo institucional,,799,https://www.bcn.cl/leychile/navegar?idNorma=6359&idParte=0,No,,,,,,Nivel 3,,Sí,,,http://rrhh2.goredelosrios.cl/viajes/agenda,,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,No considera comunicaciones oficiales,2023-12-28 11:28:48,2023-12-28 21:44:09
